Energy (keV_ee),Efficiency,Total Exposure (kg days)
5.851,0.879,
5.857,0.879,
5.863,0.879,
5.869,0.879,
5.875,0.879,
5.881,0.879,
5.887,0.879,
5.893,0.879,
5.899,0.879,
5.905,0.879,
5.911,0.879,
5.917,0.879,
5.923,0.879,
5.929,0.879,
5.935,0.879,
5.941,0.879,
5.947,0.879,
5.953,0.879,
5.959,0.879,
5.965,0.879,
5.971,0.879,
5.977,0.879,
5.983,0.879,
5.989,0.879,
5.995,0.879,
