Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
0.94033,0.86801,0,0.4355,0.5645
5.41219,0.188521,0.272487,0.727513,0
2.17044,0.404453,0.00195782,0.998042,0
3.85436,0.996669,0,0.0762774,0.923723
4.46273,0.0901541,0.832117,0.167883,0
3.12429,0.114809,0.841526,0.158474,0
4.31784,0.202811,0.222297,0.777703,0
5.9273,0.500198,0,1,0
4.98143,0.077563,0.820361,0.179639,0
1.66344,0.530353,0,1,0
2.93201,0.939074,0,0.310125,0.689875
0.615971,0.721846,0,0.973235,0.0267652
0.326004,0.676168,0,0.787787,0.212213
4.44367,0.570881,0,1,0
1.73074,0.924849,0,0.251174,0.748826
1.11298,0.879891,0,0.362858,0.637142
0.961684,0.817942,0,0.82949,0.17051
5.49838,0.478637,0,1,0
2.5851,0.155219,0.423497,0.576503,0
2.57684,0.849426,0,1,0
2.7092,0.686336,0,1,0
4.12031,0.447776,0,1,0
2.70987,0.949566,0,0.304769,0.695231
0.256055,0.928613,0,0.122837,0.877163
1.15066,0.670619,0,1,0
3.76369,0.32619,0.0219115,0.978089,0
3.86395,0.0595272,0.890989,0.109011,0
2.28786,0.748324,0,1,0
0.423737,0.694898,0,0.872887,0.127113
2.0733,0.896635,0,0.731411,0.268589
0.385018,0.0605834,0.81999,0.18001,0
1.76621,0.268322,0.232906,0.767094,0
1.69634,0.458063,0,1,0
4.81557,0.197282,0.368398,0.631602,0
0.131177,0.839422,0.000889732,0.161019,0.838091
1.33209,0.873482,0,0.62591,0.37409
1.96055,0.943765,0,0.167705,0.832295
1.25963,1.02423,0,0.0694806,0.930519
2.9496,0.555949,0,1,0
3.80323,0.048439,0.86291,0.13709,0
4.71607,0.648024,0,1,0
5.19651,0.95477,0,0.28546,0.71454
2.2694,0.983802,0,0.100924,0.899076
1.11946,0.868862,0,0.601369,0.398631
1.95637,0.967527,0,0.125,0.875
1.95134,0.0191106,0.906194,0.0938061,0
4.11651,0.0100745,0.86846,0.13154,0
5.19622,0.221876,0.186183,0.813817,0
0.346985,0.900907,0,0.143405,0.856595
3.89371,0.347717,0.0191336,0.980866,0
0.907986,0.337034,0.0127424,0.987258,0
2.90316,0.288683,0.064793,0.935207,0
3.95163,0.981137,0,0.124044,0.875956
0.364399,0.289074,0.155553,0.844447,0
1.39478,0.228313,0.16381,0.83619,0
0.697462,0.802338,0,0.670102,0.329898
4.71413,1.00182,0,0.0796543,0.920346
5.73198,0.239179,0.224499,0.775501,0
1.97901,0.920872,0,0.370665,0.629335
3.42584,0.160447,0.491607,0.508393,0
2.38868,0.928444,0,0.287137,0.712863
2.16598,0.0718919,0.887105,0.112895,0
3.96587,0.948366,0,0.40698,0.59302
0.712872,1.01257,0,0.0669377,0.933062
2.47172,0.308539,0.0749658,0.925034,0
2.52251,0.874387,0,0.959993,0.0400074
3.9847,0.963114,0,0.190853,0.809147
1.69981,0.1178,0.921593,0.0784075,0
5.25766,0.0153432,0.879167,0.120833,0
4.78661,0.0196368,0.837345,0.162655,0
3.07189,0.576456,0,1,0
3.73578,0.119265,0.604827,0.395173,0
2.31177,0.924467,0,0.465269,0.534731
